Row Type,CTID,CTDL Type,CTDL Type Label,Name,Description,Life Cycle Status Type,Finder ID,Identifier,Last Updated,Owned By/Offered By,Subject Webpage,Start Date,End Date,Transfer Value Credit,Transfer Value Credit Level(s),Transfer Value Credit Unit(s),Transfer Value Credit Subject(s),Transfer Value From - Finder URL,Transfer Value From Resource - Type,Transfer Value From Resource - Name,Transfer Value From Resource - Description,Transfer Value From Resource - Provider - Name,Transfer Value From Resource - Provider - Finder URL,Transfer Value For Resource - Type,Transfer Value For Resource - Name,Transfer Value For Resource - Description,Transfer Value For Resource - Provider - Name,Finder Detail Page,Registry URI
Resource,ce-8b9d5e92-f026-47da-5e65-f4167c88cdb0,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Southeast's MATH-M 118: Finite Mathematics - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19479,Core Transfer Library (CTL) Course Name: Finite Mathematics | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:58 PM",Indiana University Southeast,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-8b9d5e92-f026-47da-5e65-f4167c88cdb0,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 118,https://credentialfinder.org/LearningOpportunity/270216/Finite_Mathematics,Course,Finite Mathematics,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270216/Finite_Mathematics,Course,Indiana University Southeast's Finite Mathematics,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19479,https://credentialengineregistry.org/resources/ce-8b9d5e92-f026-47da-5e65-f4167c88cdb0
Resource,ce-4a79abc8-a64f-5025-4438-b9a86f027d44,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Southeast's MATH-M 126: Trigonometric Functions - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19486,Core Transfer Library (CTL) Course Name: Trigonometric Functions | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:58 PM",Indiana University Southeast,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-4a79abc8-a64f-5025-4438-b9a86f027d44,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 126,https://credentialfinder.org/LearningOpportunity/270179/Trigonometric_Functions,Course,Trigonometric Functions,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270179/Trigonometric_Functions,Course,Indiana University Southeast's Trigonometric Functions,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19486,https://credentialengineregistry.org/resources/ce-4a79abc8-a64f-5025-4438-b9a86f027d44
Resource,ce-209a9934-5529-87d2-7abf-dd345a5cf04b,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Southeast's MATH-M 215: Calculus I - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19504,Core Transfer Library (CTL) Course Name: Calculus 1 | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:57 PM",Indiana University Southeast,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-209a9934-5529-87d2-7abf-dd345a5cf04b,2024-10-24,,5,Post-Secondary Level,Semester Hour,MATH-M 215,https://credentialfinder.org/LearningOpportunity/270211/Calculus_1,Course,Calculus 1,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270211/Calculus_1,Course,Indiana University Southeast's Calculus I,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19504,https://credentialengineregistry.org/resources/ce-209a9934-5529-87d2-7abf-dd345a5cf04b
Resource,ce-dc618f65-b5a6-f47c-6a5d-a2a12bc5e491,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Kokomo's AHLT-M 185: Medical Terminology - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18730,Core Transfer Library (CTL) Course Name: Medical Terminology | Indiana Core Transfer Library Category: Life and Physical/Natural Sciences,"Oct 24, 2024 7:52 PM",Indiana University Kokomo,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-dc618f65-b5a6-f47c-6a5d-a2a12bc5e491,2024-10-24,,2,Post-Secondary Level,Semester Hour,AHLT-M 185,https://credentialfinder.org/LearningOpportunity/270245/Medical_Terminology,Course,Medical Terminology,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270245/Medical_Terminology,Course,Indiana University Kokomo's Medical Terminology,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18730,https://credentialengineregistry.org/resources/ce-dc618f65-b5a6-f47c-6a5d-a2a12bc5e491
Resource,ce-731538c9-2bcb-6a20-2622-2061349120de,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Kokomo's MATH-M 118: Finite Mathematics - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18747,Core Transfer Library (CTL) Course Name: Finite Mathematics | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 7:51 PM",Indiana University Kokomo,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-731538c9-2bcb-6a20-2622-2061349120de,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 118,https://credentialfinder.org/LearningOpportunity/270216/Finite_Mathematics,Course,Finite Mathematics,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270216/Finite_Mathematics,Course,Indiana University Kokomo's Finite Mathematics,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18747,https://credentialengineregistry.org/resources/ce-731538c9-2bcb-6a20-2622-2061349120de
Resource,ce-bd7e5af5-cd8f-98d5-99e3-c7b022a6098f,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Kokomo's MATH-M 126: Trigonometric Functions - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18775,Core Transfer Library (CTL) Course Name: Trigonometric Functions | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 7:50 PM",Indiana University Kokomo,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-bd7e5af5-cd8f-98d5-99e3-c7b022a6098f,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 126,https://credentialfinder.org/LearningOpportunity/270179/Trigonometric_Functions,Course,Trigonometric Functions,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270179/Trigonometric_Functions,Course,Indiana University Kokomo's Trigonometric Functions,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18775,https://credentialengineregistry.org/resources/ce-bd7e5af5-cd8f-98d5-99e3-c7b022a6098f
Resource,ce-7bd29e18-7463-4c8a-ef20-8d858ae84835,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Kokomo's MATH-M 215: Calculus I - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18763,Core Transfer Library (CTL) Course Name: Calculus 1 | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 7:50 PM",Indiana University Kokomo,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-7bd29e18-7463-4c8a-ef20-8d858ae84835,2024-10-24,,5,Post-Secondary Level,Semester Hour,MATH-M 215,https://credentialfinder.org/LearningOpportunity/270211/Calculus_1,Course,Calculus 1,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270211/Calculus_1,Course,Indiana University Kokomo's Calculus I,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18763,https://credentialengineregistry.org/resources/ce-7bd29e18-7463-4c8a-ef20-8d858ae84835
Resource,ce-d9107f1b-239a-455b-c32d-f9a7b8015ca9,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Kokomo's MATH-M 216: Calculus II - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18762,Core Transfer Library (CTL) Course Name: Calculus 2 | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 7:50 PM",Indiana University Kokomo,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-d9107f1b-239a-455b-c32d-f9a7b8015ca9,2024-10-24,,5,Post-Secondary Level,Semester Hour,MATH-M 216,https://credentialfinder.org/LearningOpportunity/270183/Calculus_2,Course,Calculus 2,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270183/Calculus_2,Course,Indiana University Kokomo's Calculus II,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18762,https://credentialengineregistry.org/resources/ce-d9107f1b-239a-455b-c32d-f9a7b8015ca9
Resource,ce-420ace4f-c3eb-b378-9e4e-4742c7e57de5,ceterms:TransferValueProfile,Transfer Value Profile,IUPUI's MATH-M 119: Brief Survey of Calculus I - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19366,"Core Transfer Library (CTL) Course Name: Calculus, Brief 1 | Indiana Core Transfer Library Category: Math","Oct 24, 2024 8:44 PM",Indiana University Indianapolis,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-420ace4f-c3eb-b378-9e4e-4742c7e57de5,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 119,"https://credentialfinder.org/LearningOpportunity/270207/Calculus,_Brief_1",Course,"Calculus, Brief 1","The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,"https://credentialfinder.org/LearningOpportunity/270207/Calculus,_Brief_1",Course,IUPUI's Brief Survey of Calculus I,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19366,https://credentialengineregistry.org/resources/ce-420ace4f-c3eb-b378-9e4e-4742c7e57de5
Resource,ce-e36b2f7d-4ef2-b34b-aced-b83293ef4ee1,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University East's MATH-M 125: Pre-Calculus Mathematics - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19280,"Core Transfer Library (CTL) Course Name: Algebra, College | Indiana Core Transfer Library Category: Math","Oct 24, 2024 8:38 PM",Indiana University East,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-e36b2f7d-4ef2-b34b-aced-b83293ef4ee1,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 125,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,"Algebra, College","The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,Indiana University East's Pre-Calculus Mathematics,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19280,https://credentialengineregistry.org/resources/ce-e36b2f7d-4ef2-b34b-aced-b83293ef4ee1
Resource,ce-8bc819fb-f80e-518b-1cc9-bb2766676d0e,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Bloomington's MATH-M 125: Pre-Calculus Mathematics - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18953,"Core Transfer Library (CTL) Course Name: Algebra, College | Indiana Core Transfer Library Category: Math","Oct 24, 2024 8:07 PM",Indiana University Bloomington,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-8bc819fb-f80e-518b-1cc9-bb2766676d0e,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 125,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,"Algebra, College","The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,Indiana University Bloomington's Pre-Calculus Mathematics,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18953,https://credentialengineregistry.org/resources/ce-8bc819fb-f80e-518b-1cc9-bb2766676d0e
Addendum,ce-8bc819fb-f80e-518b-1cc9-bb2766676d0e,,,,,,,,,,,,,3,Post-Secondary Level,Semester Hour,MATH-M 125,,,,,,,,,,,,
Resource,ce-2cf75e54-f2c1-080a-aaff-808748591f00,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Northwest's MATH-M 125: Pre-Calculus Mathematics - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18834,"Core Transfer Library (CTL) Course Name: Algebra, College | Indiana Core Transfer Library Category: Math","Oct 24, 2024 7:55 PM",Indiana University Northwest,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-2cf75e54-f2c1-080a-aaff-808748591f00,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 125,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,"Algebra, College","The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,Indiana University Northwest's Pre-Calculus Mathematics,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18834,https://credentialengineregistry.org/resources/ce-2cf75e54-f2c1-080a-aaff-808748591f00
Resource,ce-aaefaec0-68d5-c3e0-1c3b-22bdab37abb5,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University South Bend's MATH-M 215: Calculus I - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18884,Core Transfer Library (CTL) Course Name: Calculus 1 | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:01 PM",Indiana University South Bend,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-aaefaec0-68d5-c3e0-1c3b-22bdab37abb5,2024-10-24,,5,Post-Secondary Level,Semester Hour,MATH-M 215,https://credentialfinder.org/LearningOpportunity/270211/Calculus_1,Course,Calculus 1,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270211/Calculus_1,Course,Indiana University South Bend's Calculus I,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18884,https://credentialengineregistry.org/resources/ce-aaefaec0-68d5-c3e0-1c3b-22bdab37abb5
Resource,ce-f7e4f3e4-d2fc-127c-29d9-4a598a86df93,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University South Bend's MATH-M 108: Quantitative Reasoning - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18846,Core Transfer Library (CTL) Course Name: Quantitative Reasoning | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:01 PM",Indiana University South Bend,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-f7e4f3e4-d2fc-127c-29d9-4a598a86df93,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 108,https://credentialfinder.org/LearningOpportunity/270248/Quantitative_Reasoning,Course,Quantitative Reasoning,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270248/Quantitative_Reasoning,Course,Indiana University South Bend's Quantitative Reasoning,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18846,https://credentialengineregistry.org/resources/ce-f7e4f3e4-d2fc-127c-29d9-4a598a86df93
Resource,ce-6bae56fc-37f1-b7f8-f19e-69b3d5747e27,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University South Bend's MATH-M 118: Finite Mathematics - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18871,Core Transfer Library (CTL) Course Name: Finite Mathematics | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:01 PM",Indiana University South Bend,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-6bae56fc-37f1-b7f8-f19e-69b3d5747e27,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 118,https://credentialfinder.org/LearningOpportunity/270216/Finite_Mathematics,Course,Finite Mathematics,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270216/Finite_Mathematics,Course,Indiana University South Bend's Finite Mathematics,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18871,https://credentialengineregistry.org/resources/ce-6bae56fc-37f1-b7f8-f19e-69b3d5747e27
Resource,ce-2789970a-9319-2cca-2580-a3426d73cc24,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University South Bend's MATH-M 126: Trigonometric Functions - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18841,Core Transfer Library (CTL) Course Name: Trigonometric Functions | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:01 PM",Indiana University South Bend,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-2789970a-9319-2cca-2580-a3426d73cc24,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 126,https://credentialfinder.org/LearningOpportunity/270179/Trigonometric_Functions,Course,Trigonometric Functions,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270179/Trigonometric_Functions,Course,Indiana University South Bend's Trigonometric Functions,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18841,https://credentialengineregistry.org/resources/ce-2789970a-9319-2cca-2580-a3426d73cc24
Resource,ce-4bd585cc-d50c-f187-4354-f278718b968c,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University South Bend's MATH-M 216: Calculus II - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18883,Core Transfer Library (CTL) Course Name: Calculus 2 | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:01 PM",Indiana University South Bend,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-4bd585cc-d50c-f187-4354-f278718b968c,2024-10-24,,5,Post-Secondary Level,Semester Hour,MATH-M 216,https://credentialfinder.org/LearningOpportunity/270183/Calculus_2,Course,Calculus 2,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270183/Calculus_2,Course,Indiana University South Bend's Calculus II,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18883,https://credentialengineregistry.org/resources/ce-4bd585cc-d50c-f187-4354-f278718b968c
Resource,ce-9fa8daf9-9064-b638-dde1-a9d46a912db9,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Kokomo's MATH-M 125: Pre-Calculus Mathematics - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18770,"Core Transfer Library (CTL) Course Name: Algebra, College | Indiana Core Transfer Library Category: Math","Oct 24, 2024 7:50 PM",Indiana University Kokomo,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-9fa8daf9-9064-b638-dde1-a9d46a912db9,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 125,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,"Algebra, College","The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,Indiana University Kokomo's Pre-Calculus Mathematics,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18770,https://credentialengineregistry.org/resources/ce-9fa8daf9-9064-b638-dde1-a9d46a912db9
Resource,ce-d9472176-6d80-a261-4023-e69d820e00a0,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Kokomo's MATH-M 120: Brief Calculus II - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18759,"Core Transfer Library (CTL) Course Name: Calculus, Technical 2 | Indiana Core Transfer Library Category: Math","Oct 24, 2024 7:50 PM",Indiana University Kokomo,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-d9472176-6d80-a261-4023-e69d820e00a0,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 120,"https://credentialfinder.org/LearningOpportunity/270254/Calculus,_Technical_2",Course,"Calculus, Technical 2","The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,"https://credentialfinder.org/LearningOpportunity/270254/Calculus,_Technical_2",Course,Indiana University Kokomo's Brief Calculus II,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18759,https://credentialengineregistry.org/resources/ce-d9472176-6d80-a261-4023-e69d820e00a0
Resource,ce-317f2358-42ef-4235-b3c4-7b2e67a18b4c,ceterms:TransferValueProfile,Transfer Value Profile,SDNP-004: SDN- Medium Version 2 (1.2M Antenna and Baseband) with the FDMA Kit O&M Course,"American Council on Education recommends equivalent postsecondary academic credit for prior learning based on faculty subject matter expert review. In competency reviews, faculty also validate the skills and competencies that students are expected to master in order to pass the course or exam.",,13674,ACE Course Number: SDNP-004 | Organization Course ID: SOFC4_-15-G10_-00020-00 | SOFC4_-14-G10_-00176-00 | SOFC4_-18-G10_-00014-00,"Sep 16, 2025 10:59 AM",American Council on Education,https://www.acenet.edu/National-Guide/Pages/Course.aspx?org=Satellite%20Deployable%20Node%20Program&cid=9b2c0d80-cee7-ee11-904c-00224808d26c,2024-02-01,2027-01-31,3,Lower Division Level,Semester Hour,Introduction to Satellite Communication Operations,,Course,SDN- Medium Version 2 (1.2M Antenna and Baseband) with the FDMA Kit O&M Course,"This course provides the students with basic Satellite Communications (SATCOM) and Computer Networking fundamentals.  Upon completion of this satellite communication course the student will be able to setup, configure, troubleshoot, provide maintenance and repair.  They will be able to establish a secure satellite antenna link for both Defense Information Systems Agency (DISA) and Commercial Satellites.  The student will be able to setup, configure, troubleshoot, and maintain the three security levels of basebands connecting to the United States Special Operations Command (USSOCOM) network.  They will be able to setup, configure, troubleshoot, and maintain the Frequency Division Multiple Access (FDMA) Kit to provide secure video streaming, voice and data services for all three levels of security for the USSOCOM Network. They will have gained the ability to troubleshoot and repair various router, switches, modems and data acceleration devices.",Unknown Provider,,,,,,https://credentialfinder.org/TransferValueProfile/13674,https://credentialengineregistry.org/resources/ce-317f2358-42ef-4235-b3c4-7b2e67a18b4c
